date,open,high,low,close,volume
2023-05-31 16:00:00,6.446,6.457,6.432,6.453,96357.02
2023-05-31 17:00:00,6.452,6.476,6.446,6.476,86044.7
2023-05-31 18:00:00,6.475,6.48,6.442,6.453,53248.06
2023-05-31 19:00:00,6.453,6.467,6.446,6.455,56142.97
2023-05-31 20:00:00,6.456,6.469,6.449,6.457,28628.95
2023-05-31 21:00:00,6.456,6.456,6.435,6.44,30841.92
2023-05-31 22:00:00,6.439,6.472,6.438,6.471,27447.6
2023-05-31 23:00:00,6.471,6.488,6.465,6.478,52864.72
2023-06-01 00:00:00,6.478,6.513,6.462,6.473,155130.49
2023-06-01 01:00:00,6.473,6.509,6.472,6.497,46174.94
2023-06-01 02:00:00,6.498,6.501,6.392,6.414,198849.5
2023-06-01 03:00:00,6.414,6.441,6.372,6.434,114612.09
2023-06-01 04:00:00,6.435,6.445,6.425,6.427,58103.88
2023-06-01 05:00:00,6.427,6.454,6.424,6.453,45597.3
2023-06-01 06:00:00,6.453,6.461,6.439,6.44,112085.02
2023-06-01 07:00:00,6.439,6.44,6.407,6.412,73025.21
2023-06-01 08:00:00,6.411,6.428,6.394,6.428,133848.48
2023-06-01 09:00:00,6.428,6.441,6.425,6.425,51877.54
2023-06-01 10:00:00,6.425,6.426,6.405,6.41,60334.25
2023-06-01 11:00:00,6.409,6.412,6.394,6.401,76369.78
2023-06-01 12:00:00,6.401,6.422,6.39,6.418,62070.63
2023-06-01 13:00:00,6.418,6.421,6.384,6.396,74307.07
2023-06-01 14:00:00,6.396,6.424,6.396,6.415,79366.2
2023-06-01 15:00:00,6.415,6.423,6.399,6.408,36292.66
2023-06-01 16:00:00,6.41,6.455,6.39,6.444,96058.27
2023-06-01 17:00:00,6.444,6.452,6.41,6.412,97157.14
2023-06-01 18:00:00,6.413,6.413,6.391,6.4,135240.45
2023-06-01 19:00:00,6.399,6.406,6.325,6.385,220245.98
2023-06-01 20:00:00,6.385,6.401,6.367,6.375,42656.91
2023-06-01 21:00:00,6.375,6.396,6.373,6.376,32553.95
2023-06-01 22:00:00,6.374,6.375,6.36,6.365,76999.91
2023-06-01 23:00:00,6.365,6.367,6.317,6.344,84622.6
2023-06-02 00:00:00,6.344,6.374,6.306,6.373,127432.03
2023-06-02 01:00:00,6.374,6.399,6.347,6.383,63009.81
2023-06-02 02:00:00,6.385,6.426,6.382,6.423,55223.92
2023-06-02 03:00:00,6.423,6.448,6.423,6.448,41043.35
2023-06-02 04:00:00,6.447,6.469,6.435,6.463,62991.17
2023-06-02 05:00:00,6.464,6.481,6.453,6.454,64295.41
2023-06-02 06:00:00,6.454,6.458,6.42,6.421,75532.07
2023-06-02 07:00:00,6.42,6.429,6.416,6.419,42963.99
2023-06-02 08:00:00,6.419,6.434,6.409,6.427,171158.56
2023-06-02 09:00:00,6.428,6.443,6.4,6.404,146726.61
2023-06-02 10:00:00,6.405,6.414,6.391,6.413,82064.75
2023-06-02 11:00:00,6.413,6.425,6.401,6.417,86485.97
2023-06-02 12:00:00,6.416,6.421,6.367,6.389,263914.24
2023-06-02 13:00:00,6.389,6.392,6.347,6.352,233390.78
2023-06-02 14:00:00,6.349,6.384,6.346,6.377,79408.89
2023-06-02 15:00:00,6.377,6.392,6.376,6.391,42984.83
2023-06-02 16:00:00,6.391,6.392,6.368,6.381,104467.53
2023-06-02 17:00:00,6.382,6.42,6.375,6.41,123676.81
2023-06-02 18:00:00,6.41,6.437,6.396,6.437,52765.97
2023-06-02 19:00:00,6.436,6.456,6.435,6.454,52827.01
2023-06-02 20:00:00,6.454,6.458,6.431,6.432,55111.88
2023-06-02 21:00:00,6.431,6.45,6.418,6.446,41716.07
2023-06-02 22:00:00,6.446,6.467,6.445,6.458,47674.37
2023-06-02 23:00:00,6.459,6.465,6.449,6.45,30208.02
2023-06-03 00:00:00,6.451,6.459,6.429,6.429,34455.51
2023-06-03 01:00:00,6.43,6.441,6.398,6.411,50206.76
2023-06-03 02:00:00,6.411,6.416,6.405,6.41,19192.33
2023-06-03 03:00:00,6.41,6.418,6.403,6.416,14692.74
2023-06-03 04:00:00,6.417,6.427,6.41,6.424,27001.4
2023-06-03 05:00:00,6.422,6.434,6.422,6.433,33467.61
2023-06-03 06:00:00,6.433,6.443,6.428,6.441,21935.6
2023-06-03 07:00:00,6.442,6.445,6.429,6.434,41584.71
2023-06-03 08:00:00,6.435,6.438,6.419,6.424,25289.73
2023-06-03 09:00:00,6.424,6.428,6.417,6.425,28583.88
2023-06-03 10:00:00,6.425,6.443,6.412,6.435,29424.85
2023-06-03 11:00:00,6.436,6.442,6.431,6.439,29523.77
2023-06-03 12:00:00,6.439,6.45,6.435,6.438,30667.07
2023-06-03 13:00:00,6.438,6.442,6.424,6.442,33209.16
2023-06-03 14:00:00,6.441,6.449,6.428,6.432,30496.39
2023-06-03 15:00:00,6.431,6.439,6.409,6.438,66808.64
2023-06-03 16:00:00,6.439,6.446,6.425,6.426,48552.54
2023-06-03 17:00:00,6.424,6.425,6.37,6.38,66859.05
2023-06-03 18:00:00,6.383,6.399,6.361,6.391,49261.37
2023-06-03 19:00:00,6.391,6.4,6.365,6.387,81305.46
2023-06-03 20:00:00,6.385,6.395,6.378,6.389,14408.3
2023-06-03 21:00:00,6.389,6.396,6.369,6.387,44280.63
2023-06-03 22:00:00,6.388,6.415,6.388,6.414,29463.9
2023-06-03 23:00:00,6.414,6.422,6.405,6.421,17928.29
2023-06-04 00:00:00,6.421,6.423,6.407,6.407,27648.14
2023-06-04 01:00:00,6.406,6.431,6.393,6.431,30554.06
2023-06-04 02:00:00,6.431,6.468,6.426,6.465,80385.78
2023-06-04 03:00:00,6.463,6.467,6.449,6.455,25113.07
2023-06-04 04:00:00,6.455,6.458,6.434,6.438,24231.11
2023-06-04 05:00:00,6.438,6.461,6.438,6.45,43786.68
2023-06-04 06:00:00,6.451,6.471,6.439,6.469,28512.44
2023-06-04 07:00:00,6.469,6.496,6.463,6.485,59653.02
2023-06-04 08:00:00,6.484,6.499,6.484,6.489,43417.52
2023-06-04 09:00:00,6.489,6.499,6.487,6.489,26550.79
2023-06-04 10:00:00,6.49,6.511,6.489,6.503,71291.12
