timestamp,type,price,profit
2021-07-05,buy,2196.53,0.0
2021-07-08,sell,2116.33,-365.1213504937345
2021-07-25,buy,2189.79,0.0
2021-08-17,sell,3011.72,3616.417925184005
2021-08-20,buy,3284.82,0.0
2021-08-24,sell,3170.62,-460.6943664583242
2021-08-25,buy,3226.87,0.0
2021-08-26,sell,3093.2,-529.8384493872902
2021-08-28,buy,3244.48,0.0
2021-08-29,sell,3223.47,-79.39597302906131
2021-08-30,buy,3229.64,0.0
2021-09-07,sell,3434.57,772.9430216207357
2021-09-14,buy,3434.37,0.0
2021-09-19,sell,3328.62,-398.8849098630584
2021-10-05,buy,3515.27,0.0
2021-10-10,sell,3414.22,-360.918446363944
2021-10-13,buy,3607.42,0.0
2021-10-18,sell,3744.96,464.93963964255073
2021-10-19,buy,3877.03,0.0
2021-10-24,sell,4082.33,670.3544950005254
2021-10-25,buy,4220.37,0.0
2021-10-27,sell,3922.0,-942.3848854888979
2021-10-28,buy,4286.02,0.0
